BorrName,BorrID,LoanStatus,GrossApproval,SBAGuarantee,PctOfGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,DebtCoverage,Leverage,COFiscalYear,COAmount,PrinBalanceCollected,PctOfPrinColl,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,JobsSupported
Spanish Table LLC,3387,PIF,30000,15000,0.5,6.75,84,2015,10/28/14,11/1/14,4,9/25/21,0,2.25,4,0,0,30000,1,0,0,0,722310,48
Thomas N. Anderson,3389,EXEMPT,150400,75200,0.5,4.25,240,2015,10/24/14,11/12/14,19,7/30/34,0,1.5,3.5,0,0,45120,0.3,0,0,0,621111,0
Krish Pizza LLC,3390,EXEMPT,25000,12500,0.5,6.75,84,2015,10/23/14,11/1/14,9,9/25/21,0,1.5,3.5,0,0,7500,0.3,0,0,0,722310,0
Fire Express LLC,3391,EXEMPT,10000,5000,0.5,5.75,84,2015,10/22/14,12/1/14,40,10/25/21,0,1.5,3.5,0,0,3500,0.35,0,0,0,713940,0
Fire Express LLC,3392,EXEMPT,17300,8650,0.5,6.5,60,2015,10/22/14,11/1/14,10,10/6/19,0,1.5,3.5,0,0,5190,0.3,0,0,0,713940,0
Heidekruger Well & Pump Servic,3393,EXEMPT,50000,25000,0.5,7.75,84,2015,10/20/14,11/1/14,12,9/25/21,0,1.5,3.5,0,0,15000,0.3,0,0,0,237110,0
1st Solution Pest Control,3394,EXEMPT,50000,25000,0.5,7.75,84,2015,10/20/14,10/20/14,0,9/13/21,0,1.5,3.5,0,0,15000,0.3,0,0,0,561710,0
JPM Of Davie Inc,3395,EXEMPT,111500,55750,0.5,4.75,84,2015,10/10/14,10/10/14,0,9/3/21,0,1.5,3.5,0,0,33450,0.3,0,0,0,722513,0
"John Bauer, Inc.",3396,EXEMPT,50000,25000,0.5,5.75,84,2015,10/7/14,11/1/14,25,9/25/21,0,1.5,3.5,0,0,15000,0.3,0,0,0,238990,0
"Coda Link, Inc.",3397,EXEMPT,50000,25000,0.5,6.75,84,2014,9/29/14,10/1/14,2,8/25/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,541990,0
Lake City Animal Hospital of N,3398,EXEMPT,919000,689250,0.75,5,120,2014,9/25/14,10/1/14,6,8/9/24,0,1.75,3.25,0,0,275700,0.3,0,0,0,541940,16
Lake City Animal Hospital of N,3399,EXEMPT,75000,37500,0.5,5.25,84,2014,9/25/14,10/1/14,6,8/25/21,0,1.75,3.25,0,0,22500,0.3,0,0,0,541940,16
Team Green Landscaping & Lawn,3401,EXEMPT,50000,25000,0.5,6.75,84,2014,9/22/14,1/1/15,101,11/25/21,0,1.75,3.25,0,0,17500,0.35,0,0,0,561730,16
American Restaurant #2 LLC,3403,EXEMPT,398000,298500,0.75,6,120,2014,9/22/14,10/16/14,24,8/24/24,0,1.75,3.25,0,0,119400,0.3,0,0,0,722511,30
Peters Development of SW Flori,3404,EXEMPT,15000,7500,0.5,7.75,84,2014,9/19/14,9/19/14,0,8/13/21,0,1.75,3.25,0,0,4500,0.3,0,0,0,321918,0
Tax $mart Accounting Services,3405,EXEMPT,30000,15000,0.5,6.5,60,2014,9/18/14,9/18/14,0,8/23/19,0,1.75,3.25,0,0,9000,0.3,0,0,0,541213,0
Connect Your Meeting LLC,3407,EXEMPT,50000,25000,0.5,6.75,84,2014,9/16/14,10/1/14,15,8/25/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,541690,0
Galante Studio Distribution LL,3408,EXEMPT,125000,62500,0.5,4,84,2014,9/16/14,9/18/14,2,8/12/21,0,1.75,3.25,0,0,37500,0.3,0,0,0,424330,0
"For Your Health, LLC.",3409,EXEMPT,19700,9850,0.5,6,60,2014,9/5/14,9/5/14,0,8/10/19,0,1.75,3.25,0,0,5910,0.3,0,0,0,621310,0
Ash-Lee-Air Inc.,3410,EXEMPT,112500,56250,0.5,4.5,240,2014,9/3/14,9/3/14,0,5/21/34,0,1.75,3.25,0,0,33750,0.3,0,0,0,238220,0
ROMARISN INC,3411,EXEMPT,250000,125000,0.5,6,84,2014,9/2/14,11/21/14,80,10/15/21,0,1.75,3.25,0,0,87500,0.35,0,0,0,722310,0
Vigliotti Enterprises Corp.,3412,EXEMPT,50000,25000,0.5,5.25,84,2014,9/2/14,8/1/16,699,6/26/23,0,1.75,3.25,0,0,17500,0.35,0,0,0,531210,1
Miguelito's Taqueria Y Tequila,3413,EXEMPT,1119000,839250,0.75,5.69,240,2014,8/26/14,9/1/14,6,5/19/34,0,1.75,3.25,0,0,335700,0.3,0,0,0,722511,110
Commando Athletics LLC,3414,PIF,25000,12500,0.5,5.75,84,2014,8/25/14,9/1/14,7,7/26/21,0,2.25,4,0,0,25000,1,0,0,0,713940,0
"Cannatelli Builders, Inc.",3415,EXEMPT,82400,41200,0.5,6.5,60,2014,8/20/14,8/20/14,0,7/25/19,0,1.75,3.25,0,0,24720,0.3,0,0,0,236115,0
"Cannatelli Builders, Inc.",3416,EXEMPT,117600,58800,0.5,4.75,84,2014,8/20/14,8/20/14,0,7/14/21,0,1.75,3.25,0,0,35280,0.3,0,0,0,236115,0
Prieto Brother&#39;s Corporati,3417,EXEMPT,100000,50000,0.5,4.75,84,2014,8/20/14,3/1/15,193,1/23/22,0,1.75,3.25,0,0,35000,0.35,0,0,0,484220,0
American Ice Rinks Space Coast,3418,EXEMPT,2400000,1800000,0.75,5,300,2014,8/18/14,9/1/14,14,4/23/39,0,1.75,3.25,0,0,720000,0.3,0,0,0,713940,27
"K&J Subs, LLC",3419,EXEMPT,432000,324000,0.75,6,125,2014,8/15/14,10/1/14,47,1/6/25,0,1.75,3.25,0,0,151200,0.35,0,0,0,722513,38
"Hancock Printing Equipment, In",3420,PIF,150000,75000,0.5,3.25,84,2014,8/8/14,11/4/14,88,9/28/21,0,2.25,4,0,0,150000,1,0,0,0,423830,0
Williams Landscape Management,3421,PIF,50000,25000,0.5,7,60,2014,8/5/14,8/5/14,0,7/10/19,0,2.25,4,0,0,50000,1,0,0,0,561730,0
"Screen Machines, LLC",3422,EXEMPT,60000,30000,0.5,4.75,84,2014,8/4/14,8/4/14,0,6/28/21,0,1.75,3.25,0,0,18000,0.3,0,0,0,332618,8
Strandz Hair Studio Inc,3424,EXEMPT,96000,48000,0.5,5.25,240,2014,7/21/14,8/1/14,11,4/18/34,0,1.75,3.25,0,0,28800,0.3,0,0,0,812112,0
"CJ's 25, Inc.",3425,EXEMPT,100000,50000,0.5,5.5,84,2014,7/18/14,7/18/14,0,6/11/21,0,1.75,3.25,0,0,30000,0.3,0,0,0,722513,0
THe Vending Guys II Inc,3426,EXEMPT,50000,25000,0.5,6.25,84,2014,7/8/14,7/8/14,0,6/1/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,454210,0
"Farming Systems Research, Inc.",3428,EXEMPT,45000,22500,0.5,5.75,84,2014,7/7/14,7/7/14,0,5/31/21,0,1.75,3.25,0,0,13500,0.3,0,0,0,111219,0
ON THE EDGE ROCK CLIMBING GYM,3429,EXEMPT,1080000,810000,0.75,6.5,300,2014,7/3/14,7/3/14,0,2/22/39,0,1.75,3.25,0,0,324000,0.3,0,0,0,713940,14
"Travis D. Watson, P.A.",3430,EXEMPT,50000,25000,0.5,6.75,84,2014,7/1/14,7/1/14,0,5/25/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,541110,0
"Mrcuff.com, Inc.",3431,EXEMPT,100000,50000,0.5,5.75,84,2014,6/30/14,10/1/14,93,8/25/21,0,1.75,3.25,0,0,35000,0.35,0,0,0,448150,0
"H & R Construction Group, Inc.",3432,PIF,100000,50000,0.5,4.75,84,2014,6/26/14,7/1/14,5,5/25/21,0,2.25,4,0,0,100000,1,0,0,0,236220,0
"Eigth & Nine Design, LLC",3433,PIF,50000,25000,0.5,5.75,84,2014,6/20/14,8/1/14,42,6/25/21,0,2.25,4,0,0,50000,1,0,0,0,448140,6
Contractors Business Systems I,3434,EXEMPT,60000,30000,0.5,6.75,84,2014,6/20/14,7/1/14,11,5/25/21,0,1.75,3.25,0,0,18000,0.3,0,0,0,236115,0
Lori Adelson PA,3435,EXEMPT,50000,25000,0.5,5.75,84,2014,6/20/14,7/1/14,11,5/25/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,541110,0
"Webfones, LLC",3436,EXEMPT,50000,25000,0.5,6.75,84,2014,6/16/14,8/1/14,46,6/25/21,0,1.75,3.25,0,0,17500,0.35,0,0,0,517110,1
"Jostal, inc.",3437,PIF,50000,25000,0.5,6.75,84,2014,6/16/14,8/1/14,46,6/25/21,0,2.25,4,0,0,50000,1,0,0,0,812112,27
"Jostal, inc.",3438,PIF,99500,49750,0.5,6,60,2014,6/16/14,6/16/14,0,5/21/19,0,2.25,4,0,0,99500,1,0,0,0,812112,27
"Katrick Enterprises, Inc.",3439,PIF,10000,5000,0.5,5,60,2014,6/13/14,6/13/14,0,5/18/19,0,2.25,4,0,0,10000,1,0,0,0,238390,0
"Christina Pena, M.D., P.A.",3441,EXEMPT,1062000,796500,0.75,6,300,2014,6/11/14,6/11/14,0,1/31/39,0,1.75,3.25,0,0,318600,0.3,0,0,0,621111,3
Cross Wired Electrical Service,3442,EXEMPT,25000,12500,0.5,5.75,84,2014,6/10/14,6/10/14,0,5/4/21,0,1.75,3.25,0,0,7500,0.3,0,0,0,238210,0
Paper Products of Florida LLC,3444,EXEMPT,100000,50000,0.5,6.49,84,2014,6/9/14,6/9/14,0,5/3/21,0,1.75,3.25,0,0,30000,0.3,0,0,0,424130,0
Paper Products of Florida LLC,3445,EXEMPT,120000,60000,0.5,5.75,60,2014,6/9/14,6/9/14,0,5/14/19,0,1.75,3.25,0,0,36000,0.3,0,0,0,424130,0
Reliable Residential Contracti,3448,EXEMPT,30000,15000,0.5,4.49,84,2014,6/4/14,6/4/14,0,4/28/21,0,1.75,3.25,0,0,9000,0.3,0,0,0,236118,0
FD Construction Consulting Inc,3449,EXEMPT,25000,12500,0.5,5.75,84,2014,6/2/14,6/2/14,0,4/26/21,0,1.75,3.25,0,0,7500,0.3,0,0,0,236115,0
"Katrick Enterprises, Inc.",3450,PIF,50000,25000,0.5,6.75,84,2014,5/28/14,6/1/14,4,4/25/21,0,2.25,4,0,0,50000,1,0,0,0,238390,0
First Coast Espresso LLC,3451,EXEMPT,25000,12500,0.5,6.5,60,2014,5/21/14,5/21/14,0,4/25/19,0,1.75,3.25,0,0,7500,0.3,0,0,0,423440,0
SE Acquisition Inc,3452,EXEMPT,50000,25000,0.5,5.75,84,2014,5/21/14,9/1/14,103,7/26/21,0,1.75,3.25,0,0,17500,0.35,0,0,0,454111,0
Humdard Inc.,3453,PIF,50000,25000,0.5,6.24,84,2014,5/16/14,5/16/14,0,4/9/21,0,2.25,4,0,0,50000,1,0,0,0,722310,0
"Service With Style, LLC",3454,EXEMPT,50000,25000,0.5,6.05,84,2014,5/13/14,5/13/14,0,4/6/21,0,1.75,3.25,0,0,15000,0.3,0,0,0,541611,0
"Therapy By The Sea, LLC",3455,EXEMPT,20000,10000,0.5,6.75,84,2014,5/13/14,5/13/14,0,4/6/21,0,1.75,3.25,0,0,6000,0.3,0,0,0,624190,1
Minglehouse LLC,3456,EXEMPT,350000,175000,0.5,6.75,60,2014,5/12/14,5/12/14,0,4/16/19,0,1.75,3.25,0,0,105000,0.3,0,0,0,541613,0
Gainesville Real Estate Two LL,3457,PIF,150000,75000,0.5,4.75,84,2014,5/8/14,5/8/14,0,4/1/21,0,2.25,4,0,0,150000,1,0,0,0,531210,0
"Children's Paradise Academy, I",3459,EXEMPT,50000,25000,0.5,6.75,84,2014,5/6/14,8/1/14,87,6/25/21,0,1.75,3.25,0,0,17500,0.35,0,0,0,624410,0
SDU Holdings LLC,3461,EXEMPT,50000,25000,0.5,6.75,84,2014,5/5/14,12/1/16,941,10/26/23,0,1.75,3.25,0,0,17500,0.35,0,0,0,238350,2
"Amazing Learning Academy II, I",3462,EXEMPT,1325000,993750,0.75,6,300,2014,5/2/14,6/1/14,30,1/21/39,0,1.75,3.25,0,0,463750,0.35,0,0,0,624410,15
"KSM School, II. LLC",3463,PIF,2021000,1515750,0.75,4.5,276,2014,5/2/14,7/1/14,60,3/2/37,0,2.25,4,0,0,2021000,1,0,0,0,624410,26
Custom Creative Designs Inc.,3464,EXEMPT,25000,12500,0.5,5.25,84,2014,5/2/14,5/2/14,0,3/26/21,0,1.75,3.25,0,0,7500,0.3,0,0,0,238350,0
"433, LLC",3465,EXEMPT,50000,25000,0.5,4.49,72,2014,4/24/14,5/1/14,7,3/30/20,0,1.75,3.25,0,0,15000,0.3,0,0,0,561720,5
Ceatec Surgical LLC,3466,EXEMPT,88000,44000,0.5,4.99,240,2014,4/10/14,4/10/14,0,12/26/33,0,1.75,3.25,0,0,26400,0.3,0,0,0,423450,0
"Atlas Storage, Inc.",3467,PIF,1000000,750000,0.75,5.75,300,2014,4/9/14,4/9/14,0,11/29/38,0,2.25,4,0,0,1000000,1,0,0,0,531130,4
First Coast Espresso LLC,3468,EXEMPT,40000,20000,0.5,7.75,84,2014,3/20/14,5/1/14,42,3/25/21,0,1.75,3.25,0,0,14000,0.35,0,0,0,423440,0
The Law Office of Natashia A.,3469,EXEMPT,125000,62500,0.5,3.99,240,2014,3/3/14,3/7/14,4,11/22/33,0,1.75,3.25,0,0,37500,0.3,0,0,0,541110,0
The Law Office of Natashia A.,3470,EXEMPT,25000,12500,0.5,5.75,84,2014,3/3/14,1/1/15,304,11/25/21,0,1.75,3.25,0,0,8750,0.35,0,0,0,541110,0
"Boaters Republic, LLC",3471,PIF,100000,50000,0.5,6.75,84,2014,2/27/14,3/1/14,2,1/23/21,0,2.25,4,0,0,100000,1,0,0,0,451110,3
Creating Technology Solutions,3472,PIF,50000,25000,0.5,7.75,84,2014,2/25/14,3/1/14,4,1/23/21,0,2.25,4,0,0,50000,1,0,0,0,335911,0
Quality Mobility Inc.,3473,EXEMPT,72000,36000,0.5,6.75,60,2014,2/24/14,2/27/14,3,2/1/19,0,1.75,3.25,0,0,21600,0.3,0,0,0,446199,0
"Floridascapes Group, Inc.",3474,EXEMPT,1150000,862500,0.75,5.5,84,2014,2/24/14,4/1/14,36,2/23/21,0,1.75,3.25,0,0,402500,0.35,0,0,0,561730,0
"Big Ideas for Small People II,",3476,EXEMPT,431000,323250,0.75,6,120,2014,1/30/14,10/1/14,244,8/9/24,0,1.75,3.25,0,0,150850,0.35,0,0,0,624410,7
"Lorick Pool Service, LLC",3478,EXEMPT,25000,12500,0.5,5.75,84,2014,12/17/13,1/1/14,15,11/25/20,0,1.75,3.25,0,0,7500,0.3,0,0,0,561790,0
People's Choice Pressure Clean,3480,EXEMPT,100000,50000,0.5,5.25,84,2014,11/20/13,11/20/13,0,10/14/20,0,1.75,3.25,0,0,30000,0.3,0,0,0,561790,0
"Mr. Winter, Inc.",3481,EXEMPT,150000,75000,0.5,7.25,84,2014,11/17/13,11/17/13,0,10/11/20,0,1.75,3.25,0,0,45000,0.3,0,0,0,333415,40
"Mr. Winter, Inc.",3482,EXEMPT,154100,77050,0.5,6.75,72,2014,11/17/13,11/17/13,0,10/17/19,0,1.75,3.25,0,0,46230,0.3,0,0,0,333415,40
"Contract Road Lines,Inc",3483,EXEMPT,25000,12500,0.5,6.75,84,2014,11/7/13,12/1/13,24,10/25/20,0,1.75,3.25,0,0,7500,0.3,0,0,0,484121,0
"Ten Point Logistics, Inc.",3484,EXEMPT,350000,175000,0.5,6.25,84,2014,11/4/13,11/4/13,0,9/28/20,0,1.75,3.25,0,0,105000,0.3,0,0,0,621330,0
"Amerimax Lauderhill, LLC",3485,PIF,542000,406500,0.75,4.75,120,2014,11/1/13,11/1/13,0,9/10/23,0,2.25,4,0,0,542000,1,0,0,0,722515,48
"Gary M. Weiss, M.D., P.A.",3486,EXEMPT,1417000,1062750,0.75,4.5,120,2014,10/30/13,2/1/14,94,12/11/23,0,1.75,3.25,0,0,495950,0.35,0,0,0,621111,34
Dominick Badamo,3487,EXEMPT,20000,10000,0.5,6.75,84,2014,10/29/13,11/1/13,3,9/25/20,0,1.75,3.25,0,0,6000,0.3,0,0,0,811310,0
"Florida Falls Enterprises, Inc",3488,EXEMPT,40000,20000,0.5,5.75,84,2014,10/25/13,11/1/13,7,9/25/20,0,1.75,3.25,0,0,12000,0.3,0,0,0,238990,6
Spanish Table LLC,3491,PIF,150000,75000,0.5,6,84,2014,10/23/13,10/23/13,0,9/16/20,0,2.25,4,0,0,150000,1,0,0,0,722310,48
"Cherry Blossom Three, Inc.",3492,PIF,178000,133500,0.75,3.87,60,2014,10/17/13,11/1/13,15,10/6/18,0,2.25,4,0,0,178000,1,0,0,0,624410,9
Travmo Electric LLC,3493,EXEMPT,25000,12500,0.5,6.75,84,2014,10/17/13,10/17/13,0,9/10/20,0,1.75,3.25,0,0,7500,0.3,0,0,0,238210,0
"Fogo Group, LLC, dba Firehouse",3494,EXEMPT,217900,163425,0.75,5.5,120,2013,9/27/13,2/1/14,127,12/11/23,0,2,3,0,0,76265,0.35,0,0,0,722513,12
Beverage Innovations Inc.,3495,PIF,1000000,750000,0.75,5.25,144,2013,9/24/13,11/1/13,38,8/30/25,0,2.25,4,0,0,1000000,1,0,0,0,312111,15
Michael Joseph Gunn and Vickie,3496,EXEMPT,794000,595500,0.75,4.85,300,2013,9/10/13,9/10/13,0,5/2/38,0,2,3,0,0,238200,0.3,0,0,0,541330,0
3SPACE Inc.,3497,EXEMPT,100000,50000,0.5,4.5,84,2013,9/10/13,12/1/14,447,10/25/21,0,2,3,0,0,35000,0.35,0,0,0,541330,4
"Scimera Bioscience, LLC",3498,EXEMPT,50000,25000,0.5,7.75,91,2013,8/29/13,9/1/13,3,2/21/21,0,2,3,0,0,15000,0.3,0,0,0,325411,5
OAC Action Construction Corp.,3500,EXEMPT,250000,125000,0.5,5.25,84,2013,8/13/13,8/13/13,0,7/7/20,0,2,3,0,0,75000,0.3,0,0,0,236118,2
"Maxx's Shaving Room, Inc.",3501,EXEMPT,30000,15000,0.5,6,60,2013,7/30/13,8/1/13,2,7/6/18,0,2,3,0,0,9000,0.3,0,0,0,812112,6
General Elevator Company,3502,EXEMPT,79000,39500,0.5,7.75,84,2013,7/19/13,9/1/13,44,7/26/20,0,2,3,0,0,27650,0.35,0,0,0,333921,0
"OUM, LLC",3503,EXEMPT,791000,593250,0.75,6,120,2013,7/16/13,8/1/13,16,6/10/23,0,2,3,0,0,237300,0.3,0,0,0,334413,3
"OUM, LLC",3504,EXEMPT,145000,72500,0.5,5.25,84,2013,7/16/13,12/1/13,138,10/25/20,0,2,3,0,0,50750,0.35,0,0,0,334413,3
Humdard Inc,3505,PIF,138000,69000,0.5,7,60,2013,7/12/13,7/12/13,0,6/16/18,0,2.25,4,0,0,138000,1,0,0,0,722515,30
Enlighten Minds LLC,3508,EXEMPT,1033000,774750,0.75,5.5,123,2013,7/10/13,8/1/13,22,9/8/23,0,2,3,0,0,309900,0.3,0,0,0,624410,16
Enlighten Minds LLC,3509,EXEMPT,100000,50000,0.5,6,84,2013,7/10/13,6/1/14,326,4/25/21,0,2,3,0,0,35000,0.35,0,0,0,624410,16
"Cherry Family Chiropractic, LL",3512,PIF,20000,10000,0.5,6.75,84,2013,7/10/13,8/1/13,22,6/25/20,0,2.25,4,0,0,20000,1,0,0,0,621310,0
"Cherry Family Chiropractic, LL",3513,PIF,37600,18800,0.5,7,60,2013,7/10/13,7/10/13,0,6/14/18,0,2.25,4,0,0,37600,1,0,0,0,621310,0
"Barlop, LLC",3514,EXEMPT,1160000,870000,0.75,6,300,2013,6/18/13,6/18/13,0,2/7/38,0,2,3,0,0,348000,0.3,0,0,0,423420,26
"Synergy Insurance Group, Inc",3515,PIF,100000,50000,0.5,5.25,84,2013,6/18/13,8/1/13,44,6/25/20,0,2.25,4,0,0,100000,1,0,0,0,524210,10
Impex Trading Technology Corp.,3516,EXEMPT,125000,62500,0.5,5.75,96,2013,6/14/13,6/14/13,0,5/3/21,0,2,3,0,0,37500,0.3,0,0,0,334220,0
RDH Trucking Inc,3517,EXEMPT,25500,12750,0.5,6.75,84,2013,6/3/13,9/1/13,90,7/26/20,0,2,3,0,0,8925,0.35,0,0,0,484121,9
HBS National ATM LLC,3518,EXEMPT,10000,5000,0.5,7.75,84,2013,5/23/13,5/23/13,0,4/16/20,0,2,3,0,0,3000,0.3,0,0,0,561439,0
"Express Docs, PLLC",3519,EXEMPT,1104000,828000,0.75,6,120,2013,5/22/13,7/1/13,40,5/10/23,0,2,3,0,0,386400,0.35,0,0,0,621493,5
"Mickey Golden Future Academy,",3520,PIF,30000,15000,0.5,7.5,60,2013,5/9/13,5/9/13,0,4/13/18,0,2.25,4,0,0,30000,1,0,0,0,624410,10
"Mickey Golden Future Academy,",3521,PIF,5000,2500,0.5,7.75,84,2013,5/9/13,11/1/13,176,9/25/20,0,2.25,4,0,0,5000,1,0,0,0,624410,10
"Pointer Construction Group, LL",3522,PIF,475000,356250,0.75,4.75,84,2013,5/6/13,3/1/14,299,1/23/21,0,2.25,4,0,0,475000,1,0,0,0,236220,15
"Promised Ministries, LLC",3523,EXEMPT,50000,25000,0.5,6.75,84,2013,4/29/13,5/1/13,2,3/25/20,0,2,3,0,0,15000,0.3,0,0,0,454111,0
Paul T Mazzoni and Ann K Mazzo,3524,PIF,93000,46500,0.5,6.25,240,2013,4/29/13,5/1/13,2,1/16/33,0,2.25,4,0,0,93000,1,0,0,0,812210,1
"Lock Insurance, LLC",3525,PIF,99000,49500,0.5,4.25,240,2013,4/23/13,4/25/13,2,1/10/33,0,2.25,4,0,0,99000,1,0,0,0,524210,0
Custom Logistics Inc.,3526,EXEMPT,50000,25000,0.5,6.75,84,2013,4/22/13,6/1/13,40,4/25/20,0,2,3,0,0,17500,0.35,0,0,0,541614,0
Don Vito's Italian Restarurant,3528,EXEMPT,182000,91000,0.5,5.25,300,2013,4/15/13,5/1/13,16,12/21/37,0,2,3,0,0,54600,0.3,0,0,0,722511,3
"313 Datura, LLC",3529,PIF,2626000,1969500,0.75,5.65,300,2013,4/12/13,6/1/13,50,1/21/38,0,2.25,4,0,0,2626000,1,0,0,0,541511,0
"Schatzman & Hovanyecz, P.A.",3530,EXEMPT,50000,25000,0.5,6.75,84,2013,4/9/13,4/9/13,0,3/3/20,0,2,3,0,0,15000,0.3,0,0,0,541110,2
"DKW Holdings, LLC and David K.",3531,EXEMPT,503000,377250,0.75,5.5,120,2013,4/3/13,5/6/13,33,3/15/23,0,2,3,0,0,176050,0.35,0,0,0,621210,10
Veacomm Rl Corp,3532,EXEMPT,50000,25000,0.5,7.75,84,2013,4/3/13,4/3/13,0,2/26/20,0,2,3,0,0,15000,0.3,0,0,0,423690,3
"Guzman Group, Corp.",3533,PIF,50000,25000,0.5,6.75,84,2013,3/27/13,4/1/13,5,2/24/20,0,2.25,4,0,0,50000,1,0,0,0,445310,0
"RPW Sales, Inc. and Warehouse",3534,EXEMPT,414000,310500,0.75,6,300,2013,3/26/13,4/19/13,24,12/9/37,0,2,3,0,0,124200,0.3,0,0,0,425110,3
"C&C Distinctive Designs, LLC",3535,EXEMPT,544000,408000,0.75,5.45,304,2013,3/25/13,4/1/13,7,3/21/38,0,2,3,0,0,163200,0.3,0,0,0,621111,0
"DLF INTERNATIONAL, INC.",3536,EXEMPT,543000,407250,0.75,5.5,102,2013,3/14/13,4/5/13,22,8/21/21,0,2,3,0,0,162900,0.3,0,0,0,424480,0
"DLF PACKING, LLC",3537,EXEMPT,1478000,1108500,0.75,5.5,300,2013,3/14/13,4/5/13,22,11/25/37,0,2,3,0,0,443400,0.3,0,0,0,115114,0
"DLF INTERNATIONAL, INC.",3538,EXEMPT,350000,175000,0.5,5.25,84,2013,3/14/13,4/1/13,18,2/24/20,0,2,3,0,0,105000,0.3,0,0,0,424480,0
"Mimeca Group USA, Inc.",3540,EXEMPT,25000,12500,0.5,7.75,84,2013,3/1/13,5/1/13,61,3/25/20,0,2,3,0,0,8750,0.35,0,0,0,624410,7
"Mark Clements, Inc.",3541,EXEMPT,25000,12500,0.5,7.75,108,2013,3/1/13,3/1/13,0,1/13/22,0,2,3,0,0,7500,0.3,0,0,0,236118,0
"Christopher J. Perez -Gurri, P",3542,EXEMPT,30000,15000,0.5,5.75,84,2013,2/18/13,2/18/13,0,1/13/20,0,2,3,0,0,9000,0.3,0,0,0,541110,1
"Corvea Trucking, Inc",3543,PIF,100000,50000,0.5,7.25,84,2013,2/7/13,2/7/13,0,1/2/20,0,2.25,4,0,0,100000,1,0,0,0,562111,0
"Godleetikas International, Inc",3544,EXEMPT,350000,175000,0.5,6.25,84,2013,2/1/13,2/1/13,0,12/27/19,0,2,3,0,0,105000,0.3,0,0,0,424210,0
"China Rider, Inc. dba Mellow M",3545,EXEMPT,3224500,2418375,0.75,6,312,2013,1/28/13,4/1/13,63,11/16/38,0,2,3,0,0,1128575,0.35,0,0,0,722110,51
"Mickey Shanks, Inc.",3546,EXEMPT,150000,75000,0.5,4.25,84,2013,1/24/13,2/1/13,8,12/27/19,0,2,3,0,0,45000,0.3,0,0,0,445292,0
"G&S Polizzi Enterprises, LLC",3547,EXEMPT,350000,262500,0.75,6,120,2013,1/24/13,2/1/13,8,12/11/22,0,2,3,0,0,105000,0.3,0,0,0,624410,8
"Robby Worrell Construction, LL",3548,EXEMPT,75000,37500,0.5,6.75,83,2013,1/22/13,2/1/13,10,11/27/19,0,2,3,0,0,22500,0.3,0,0,0,238910,0
"Robby Worrell Construction, LL",3549,PIF,10000,5000,0.5,7,60,2013,1/22/13,1/24/13,2,12/29/17,0,2.25,4,0,0,10000,1,0,0,0,238910,0
Scott Cochrane Inc,3550,PIF,50000,25000,0.5,7.5,60,2013,1/22/13,1/28/13,6,1/2/18,0,2.25,4,0,0,50000,1,0,0,0,722211,0
Forte Interactive Inc.,3551,EXEMPT,350000,175000,0.5,4.25,84,2013,1/18/13,1/18/13,0,12/13/19,0,2,3,0,0,105000,0.3,0,0,0,541511,42
Bobina Inc,3552,EXEMPT,15000,7500,0.5,5.75,84,2013,1/11/13,3/1/13,49,1/24/20,0,2,3,0,0,5250,0.35,0,0,0,721110,0
Bobina Inc,3553,PIF,20300,10150,0.5,6.5,60,2013,1/11/13,1/17/13,6,12/22/17,0,2.25,4,0,0,20300,1,0,0,0,721110,0
"ABC Flooring, Inc.",3554,EXEMPT,380000,285000,0.75,6,120,2013,12/21/12,12/31/12,10,11/9/22,0,2,3,0,0,114000,0.3,0,0,0,442210,7
"Florida Falls Enterprises, Inc",3555,EXEMPT,130400,65200,0.5,4.25,240,2013,12/17/12,12/21/12,4,9/7/32,0,2,3,0,0,39120,0.3,0,0,0,238990,6
Maguire's Bobcat Service Inc.,3556,PIF,28000,14000,0.5,7,60,2013,12/14/12,12/19/12,5,11/23/17,0,2.25,4,0,0,28000,1,0,0,0,238910,3
"PITA PIT GAINESVILLE, INC.",3557,PIF,150600,75300,0.5,6,60,2013,12/6/12,12/20/12,14,11/24/17,0,2.25,4,0,0,150600,1,0,0,0,722110,0
"BOZ HOLDINGS, LLC",3558,EXEMPT,748000,561000,0.75,5.5,276,2013,12/4/12,12/4/12,0,8/6/35,0,2,3,0,0,224400,0.3,0,0,0,238330,0
"BCPP I, LLC",3559,PIF,260000,130000,0.5,6,84,2013,11/29/12,12/11/12,12,11/5/19,0,2.25,4,0,0,260000,1,0,0,0,722211,0
"A1A Sod, Sand & Soil, Inc.",3560,PIF,185000,92500,0.5,6.25,84,2013,11/20/12,11/20/12,0,10/15/19,0,2.25,4,0,0,185000,1,0,0,0,561730,0
