BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysIN2TB4CO,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
Coffee Times Eight Inc,100 S. Atkinson Rd. Unit 116,GRAYSLAKE,IL,60030,9149,PIF,50800,43180,5.75,120,2014,7/29/14,8/1/14,3,6/9/24,0,,,,,,"3,600",120,812990,All Other Personal Services,1,PLP,Guaranty,The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
Coffee Times Eight Inc,100 S. Atkinson Rd. Unit 16,GRAYSLAKE,IL,60030,9150,PIF,20000,10000,6.25,84,2014,7/29/14,8/1/14,3,6/25/21,0,,,,,,"2,520",84,812990,All Other Personal Services,1,SBA EXPRES,FA$TRK (Small Loan Express),The Huntington National Bank,17 S High St,COLUMBUS,OH,43215
"Glasnovich Auto Body, Inc.",168 N Linwood Rd,Galesburg,IL,61401,9200,PIF,375500,281625,5.25,120,2013,8/29/13,9/1/13,3,7/11/23,0,,,,,,"3,600",120,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",8,OTH 7A,Guaranty,The Farmers and Mechanics Bank,21 E Main St,GALESBURG,IL,61401
Troy Bakery,8963 E. Kirsch Road.,Troy,IL,62294,9208,PIF,55000,49500,5.5,84,2010,10/29/09,11/1/09,3,9/25/16,0,,,,,,"2,520",84,311812,Commercial Bakeries,3,PATRIOT EX,Patriot Express,The Bank of Edwardsville,330 W Vandalia,EDWARDSVILLE,IL,62025
OL CHICAGO CORPORATION,11045 S KEDZIE AVE,CHICAGO,IL,60655,9252,PIF,370000,277500,6,244,2014,2/26/14,3/1/14,3,3/16/34,0,,,,,,"7,320",244,722513,Limited-Service Restaurants,10,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
"JCK Contractors, INc.",17312 Kunde Road,UNION,IL,60180,9259,PIF,200000,100000,6,72,2013,8/29/13,9/1/13,3,8/1/19,0,,,,,,"2,160",72,484220,"Specialized Freight (except Used Goods) Trucking, Local",0,SBA EXPRES,FA$TRK (Small Loan Express),State Bank of the Lakes,440 Lake St,ANTIOCH,IL,60002
"ATS MEDICAL SERVICES, INC.",6419 Material Ave.,Loves Park,IL,61111,9382,PIF,296000,222000,5.25,120,2012,8/29/12,9/1/12,3,7/11/22,0,,,,,,"3,600",120,621910,Ambulance Services,16,PLP,Guaranty,Rockford Bank and Trust Company,4571 Guilford Rd,ROCKFORD,IL,61107
ONSITE WOODWORK CORPORATION,4100 Rock Valley Parkway,Loves Park,IL,61111,9397,PIF,1000000,500000,5.25,84,2011,4/28/11,5/1/11,3,3/25/18,0,,,,,,"2,520",84,337212,Custom Architectural Woodwork and Millwork Manufacturing,60,SBA EXPRES,FA$TRK (Small Loan Express),Rockford Bank and Trust Company,4571 Guilford Rd,ROCKFORD,IL,61107
Industrial-Commercial Services,16700 S. Clark Street,Thornton,IL,60476,9453,PIF,250000,125000,5.25,84,2012,6/28/12,7/1/12,3,5/26/19,0,,,,,,"2,520",84,236220,Commercial and Institutional Building Construction,25,SBA EXPRES,FA$TRK (Small Loan Express),Providence Bank & Trust,630 E 162nd St,SOUTH HOLLAND,IL,60473
Belvidere Family Chiropractic,115 West Lincoln Avenue.,Belvidere,IL,61008,9491,PIF,117000,99450,5,84,2010,9/28/10,10/1/10,3,8/25/17,0,,,,,,"2,520",84,621310,Offices of Chiropractors,2,PLP,Guaranty,Alpine Bank & Trust Co.,1700 N Alpine Rd,ROCKFORD,IL,61107
CUSTOM COPY & PRINTING PARTNER,2619 Charles st,ROCKFORD,IL,61108,9497,PIF,39000,19500,5.25,60,2012,8/29/12,9/1/12,3,8/6/17,0,,,,,,"1,800",60,323114,Quick Printing,2,SBA EXPRES,FA$TRK (Small Loan Express),Alpine Bank & Trust Co.,1700 N Alpine Rd,ROCKFORD,IL,61107
"Jac Stores, Inc.",2245 West Mound Road,DECATUR,IL,62526,9748,PIF,2500000,1875000,4.75,120,2014,7/29/14,8/1/14,3,6/9/24,0,,,,,,"3,600",120,446110,Pharmacies and Drug Stores,90,PLP,Guaranty,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403
QUALITY LEADERS INC,644 HIBBARD RD,WILMETTE,IL,60091,9798,PIF,250000,125000,6.55,84,2016,9/28/16,10/1/16,3,8/26/23,0,,,,,,"2,520",84,561720,Janitorial Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Eden Home Healthcare, LLC",1019 W Wise Road Unit 3A,SCHAUMBURG,IL,60193,9935,PIF,149300,74650,5.38,240,2014,8/29/14,9/1/14,3,5/19/34,0,,,,,,"7,200",240,621610,Home Health Care Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Ravenswood Pediatrics, S.C.",1945 W Wilson Ave Ste 6110,CHICAGO,IL,60640,10061,PIF,25000,12500,8.15,84,2014,10/29/13,11/1/13,3,9/25/20,0,,,,,,"2,520",84,621111,Offices of Physicians (except Mental Health Specialists),3,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Kathy Schaeffer & Associates,",17 N State St Suite 1690,CHICAGO,IL,60602,10126,PIF,210000,105000,5.6,84,2013,5/29/13,6/1/13,3,4/25/20,0,,,,,,"2,520",84,541820,Public Relations Agencies,6,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Kristyna Archer Photography,5 N Wabash Ave Apt 506,CHICAGO,IL,60602,10231,PIF,10000,5000,8.5,84,2013,10/29/12,11/1/12,3,9/26/19,0,,,,,,"2,520",84,541922,Commercial Photography,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Cleonardo Studios Inc.,638 Anthony Trl Ste 2,NORTHBROOK,IL,60062,10248,PIF,29000,14500,6.05,84,2012,9/28/12,10/1/12,3,8/26/19,0,,,,,,"2,520",84,323115,Digital Printing,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Hoyd Builders, Inc.",7205 Daybreak Ln,Long Grove,IL,60060,10347,PIF,80000,40000,7.25,84,2012,5/29/12,6/1/12,3,4/26/19,0,,,,,,"2,520",84,236115,New Single-Family Housing Construction (except Operative Builders),2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"K & K Auto Body Rebuilders, In",7043 W 153rd St,ORLAND PARK,IL,60462,10415,PIF,25000,12500,5.65,84,2012,3/29/12,4/1/12,3,2/24/19,0,,,,,,"2,520",84,811111,General Automotive Repair,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Creative Midwest Inc,6101 Factory Rd,CRYSTAL LAKE,IL,60014,10416,PIF,75000,37500,6.35,84,2012,3/29/12,4/1/12,3,2/24/19,0,,,,,,"2,520",84,236118,Residential Remodelers,12,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Level Construction, Inc.","700 N. Green Street, Ste 103",CHICAGO,IL,60642,10535,PIF,150000,75000,5.5,84,2011,9/28/11,10/1/11,3,8/25/18,0,,,,,,"2,520",84,236220,Commercial and Institutional Building Construction,7,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"SMS Line, Inc.",7501 W 99 th Street,Bridgeview,IL,60455,10578,PIF,503700,251850,5.25,51,2011,7/29/11,8/1/11,3,10/9/15,0,,,,,,"1,530",51,484110,"General Freight Trucking, Local",62,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Boss Trading Corporation,843 N Central Ave,WOOD DALE,IL,60191,10603,PIF,27000,13500,9.25,60,2011,6/28/11,7/1/11,3,6/4/16,0,,,,,,"1,800",60,425120,Wholesale Trade Agents and Brokers,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
RZONE TRANS INC.,3406 W Carmen Ave Apt 1A,CHICAGO,IL,60625,10671,PIF,28500,14250,8.4,84,2011,4/28/11,5/1/11,3,3/25/18,0,,,,,,"2,520",84,484121,"General Freight Trucking, Long Distance, Truckload",0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Lewis Gainor & Associates P.C.,1600 Golf Ste 1200 Rd,ROLLING MEADOWS,IL,60008,10672,PIF,20000,10000,7.25,84,2011,4/28/11,5/1/11,3,3/25/18,0,,,,,,"2,520",84,541110,Offices of Lawyers,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Eymard Silva, D.P.M. P.C.",5352 W 95th St,OAK LAWN,IL,60453,10934,PIF,20000,10000,8.1,84,2010,6/28/10,7/1/10,3,5/25/17,0,,,,,,"2,520",84,621391,Offices of Podiatrists,4,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Reavy Therapy, LLC",939 W. Madison,CHICAGO,IL,60607,10935,PIF,351200,263400,5.75,240,2010,6/28/10,7/1/10,3,3/18/30,0,,,,,,"7,200",240,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",15,PLP,Guaranty,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Family Health Prevention & Car,333 E Il Route 83,MUNDELEIN,IL,60060,10996,PIF,67300,33650,7,84,2010,4/28/10,5/1/10,3,3/25/17,0,,,,,,"2,520",84,621111,Offices of Physicians (except Mental Health Specialists),10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Family Health Prevention & Car,333 E Il Route 83,MUNDELEIN,IL,60060,10997,PIF,25000,12500,8.35,84,2010,4/28/10,5/1/10,3,3/25/17,0,,,,,,"2,520",84,621111,Offices of Physicians (except Mental Health Specialists),10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Custom Color Ink & Coating, In",40 E Belmont Dr,ROMEOVILLE,IL,60446,10998,PIF,50000,25000,7.25,84,2010,4/28/10,5/1/10,3,3/25/17,0,,,,,,"2,520",84,325910,Printing Ink Manufacturing,24,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Q Outdoor Corporation,6337 N Kirkwood Ave,CHICAGO,IL,60646,11111,PIF,50000,25000,8.35,84,2010,12/29/09,1/1/10,3,11/25/16,0,,,,,,"2,520",84,541850,Display Advertising,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
Anup Bartlett Corp,839 Oak Ridge Blvd,BARTLETT,IL,60103,11212,PIF,150000,75000,5.5,84,2015,5/29/15,6/1/15,3,4/25/22,0,,,,,,"2,520",84,722513,Limited-Service Restaurants,14,SBA EXPRES,FA$TRK (Small Loan Express),Heartland Bank and Trust Company,401 N Hershey Rd,BLOOMINGTON,IL,61704
Charles N. Erickson Law Office,202 S. Eldorado Road,BLOOMINGTON,IL,61704,11215,PIF,25000,12500,5.75,25,2015,1/2/15,1/5/15,3,1/24/17,0,,,,,,750,25,541110,Offices of Lawyers,2,SBA EXPRES,FA$TRK (Small Loan Express),Heartland Bank and Trust Company,401 N Hershey Rd,BLOOMINGTON,IL,61704
ERIC HJERPE,2425 E. Lincoln,BLOOMINGTON,IL,61704,11233,PIF,59000,29500,6,46,2013,11/27/12,11/30/12,3,9/10/16,0,,,,,,"1,380",46,541211,Offices of Certified Public Accountants,10,SBA EXPRES,FA$TRK (Small Loan Express),Heartland Bank and Trust Company,401 N Hershey Rd,BLOOMINGTON,IL,61704
"DUST CLOUD MEDIA, LLC",208 N CARROLL STREET,MT CARROLL,IL,61053,11309,PIF,20400,17340,6.25,84,2010,7/29/10,8/1/10,3,6/25/17,0,,,,,,"2,520",84,511199,All Other Publishers,1,RLA,Rural Lender Advantage,German-American State Bank,100 Church St,GERMAN VALLEY,IL,61039
"ModuTouch, Inc.",4554 North Dover,Chicago,IL,60640,11403,PIF,203700,101850,7.85,87,2010,6/28/10,7/1/10,3,8/23/17,0,,,,,,"2,610",87,541850,Display Advertising,11,SBA EXPRES,FA$TRK (Small Loan Express),"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
Huff Lumber and Home Specialti,2201 South Rt. 51,DECATUR,IL,62521,11416,PIF,300000,150000,5.25,24,2016,2/25/16,2/28/16,3,2/17/18,0,,,,,,720,24,444190,Other Building Material Dealers,8,SBA EXPRES,FA$TRK (Small Loan Express),"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
"WZ Tool, Inc.",11475 Commerical Street Unit,Richmond,IL,60071,11463,PIF,100000,50000,4.75,84,2011,4/28/11,5/1/11,3,3/25/18,0,,,,,,"2,520",84,332710,Machine Shops,0,SBA EXPRES,FA$TRK (Small Loan Express),"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
Myndzeye Studios Inc,1358 oakland Ave,DECATUR,IL,62526,11498,PIF,17500,8750,5,120,2013,7/29/13,8/1/13,3,6/10/23,0,,,,,,"3,600",120,512191,Teleproduction and Other Postproduction Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
"Rack Builders, Inc",3809 Dye Road,Quincy,IL,62305,11518,PIF,842000,631500,6,120,2011,7/29/11,8/1/11,3,6/9/21,0,,,,,,"3,600",120,332313,Plate Work Manufacturing,32,OTH 7A,Guaranty,"First Mid-Illinois Bank & Trust, N.A.",1515 Charleston Ave.,MATTOON,IL,61938
"GLENBROOK REAL ESTATE, LLC AND",1801 JANKE DRIVE,NORTHBROOK,IL,60062,11592,PIF,1640000,1476000,6,240,2011,12/29/10,1/1/11,3,9/18/30,0,,,,,,"7,200",240,713940,Fitness and Recreational Sports Centers,30,OTH 7A,Guaranty,First Farmers Bank and Trust,123 N Jefferson St,CONVERSE,IN,46919
Helios Design Build LLC.,1156 West Armitage Avenue.,Chicago,IL,60614,11604,PIF,100000,50000,7.5,30,2010,6/28/10,7/1/10,3,12/17/12,0,,,,,,900,30,236220,Commercial and Institutional Building Construction,3,SBA EXPRES,FA$TRK (Small Loan Express),First Eagle Bank,1201 W Madison St,CHICAGO,IL,60607
"Kanchana, L.L.C.",1023 Maple Avenue,Lisle,IL,60532,11625,PIF,612800,459600,5.75,120,2015,1/29/15,2/1/15,3,12/10/24,0,,,,,,"3,600",120,812320,Drycleaning and Laundry Services (except Coin-Operated),16,PLP,Guaranty,First Colorado National Bank,133 Grand Ave,PAONIA,CO,81428
"Auto Expo, Inc.",411 E Park Ave.,Libertyville,IL,60048,11626,PIF,118000,59000,5.24,60,2013,1/29/13,2/1/13,3,1/6/18,0,,,,,,"1,800",60,811192,Car Washes,5,SBA EXPRES,FA$TRK (Small Loan Express),"Associated Bank, National Association",200 N Adams St,GREEN BAY,WI,54301
"Charles J. Fiore Nurseries, LL",16606 W Highway 22,Prairie View,IL,60069,11709,PIF,1700000,1275000,3.87,12,2017,12/29/16,1/1/17,3,12/27/17,0,,,,,,360,12,444220,Nursery and Garden Centers,10,OTH 7A,Standard Asset Based,First American Bank,700 Busse Rd,ELK GROVE VILLAGE,IL,60007
"Vative, LLC",1400 East Touhy,DES PLAINES,IL,60018,11845,PIF,49900,24950,4.73,60,2016,10/29/15,11/1/15,3,10/5/20,0,,,,,,"1,800",60,541511,Custom Computer Programming Services,17,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
"Ventronics, Inc.",370 Beinoris Dr.,Wood Dale,IL,60191,11929,PIF,15000,7500,8.24,84,2010,10/29/09,11/1/09,3,9/25/16,0,,,,,,"2,520",84,423690,Other Electronic Parts and Equipment Merchant Wholesalers,5,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
"SUPERIOR SWEEPING, INC.",6553 NORTH OCONTO AVE,CHICAGO,IL,60631,12098,PIF,60000,30000,4.54,60,2013,8/29/13,9/1/13,3,8/6/18,0,,,,,,"1,800",60,488490,Other Support Activities for Road Transportation,2,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
"RALPH K. ERDMANN, DDS, P.C.",6725 STANLEY AVE STE 1,BERWYN,IL,60402,12128,PIF,110000,55000,7.42,72,2011,6/28/11,7/1/11,3,5/30/17,0,,,,,,"2,160",72,621210,Offices of Dentists,2,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
"O'NEAL TRANSPORTATION, INC.",6601 S WENTWORTH AVE,CHICAGO,IL,60621,12157,PIF,160700,80350,6.85,60,2010,6/28/10,7/1/10,3,6/5/15,0,,,,,,"1,800",60,484110,"General Freight Trucking, Local",70,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
"Chicago True Value Hardware, I",3111 W. 111th Steet,Chicago,IL,60655,12240,PIF,200000,150000,5.75,120,2011,3/29/11,4/1/11,3,2/7/21,0,,,,,,"3,600",120,444130,Hardware Stores,7,PLP,Guaranty,CIBC Bank USA,120 S LaSalle St,CHICAGO,IL,60603
"A-Action Pest Control, Inc.",1048 Sanderling Ct.,ANTIOCH,IL,60002,12305,PIF,212000,159000,6,300,2014,8/29/14,9/1/14,3,4/23/39,0,,,,,,"9,000",300,561710,Exterminating and Pest Control Services,2,SLA,Lender Advantage Initiative,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"GLEN ELLYN DONUTS, INC.",22 W 251 NORTH AVENUE,GLEN ELLYN,IL,60137,12356,PIF,350000,262500,5.75,120,2013,5/29/13,6/1/13,3,4/10/23,0,,,,,,"3,600",120,722513,Limited-Service Restaurants,15,SLA,Lender Advantage Initiative,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
"Altus Global Aviation, LLC",111 Erick St Suite 127,CRYSTAL LAKE,IL,60014,12369,PIF,345000,258750,6,120,2013,3/29/13,4/1/13,3,2/8/23,0,,,,,,"3,600",120,423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant,2,SLA,Lender Advantage Initiative,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
Cave Holdings Wisconcin LLC (E,"1624 W. 18th St., Chicago IL",Chicago,IL,60608,12392,PIF,450000,337500,5.5,300,2013,10/29/12,11/1/12,3,6/23/37,0,,,,,,"9,000",300,722211,Limited-Service Restaurants,22,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
Nicholas Restaurant Corp.,8520 S. Cicero Avenue,Burbank,IL,60459,12460,PIF,468000,351000,6,121,2011,6/28/11,7/1/11,3,6/8/21,0,,,,,,"3,630",121,722211,Limited-Service Restaurants,0,PLP,Guaranty,Byline Bank,"180 N LaSalle St, Ste 300",CHICAGO,IL,60101
Michael Ruffatto S C,1705 Woodfield Dr,SAVOY,IL,61874,12564,PIF,144000,122400,5.75,84,2015,12/29/14,1/1/15,3,11/25/21,0,,,,,,"2,520",84,621210,Offices of Dentists,4,SLA,Lender Advantage Initiative,Busey Bank,100 W University Ave,CHAMPAIGN,IL,61824
"Security Transport, Inc.",3105 N. Ashland #121,Chicago,IL,60657,12577,PIF,400000,300000,5.5,60,2012,6/28/12,7/1/12,3,6/5/17,0,,,,,,"1,800",60,484122,"General Freight Trucking, Long-Distance, Less Than Truckload",10,OTH 7A,Guaranty,Busey Bank,100 W University Ave,CHAMPAIGN,IL,61824
"Illini Contractors Supply, Inc",706 W. Bradley Ave.,CHAMPAIGN,IL,61820,12611,PIF,100000,90000,6,84,2010,1/29/10,2/1/10,3,12/26/16,0,,,,,,"2,520",84,444190,Other Building Material Dealers,6,PLP,Guaranty,Busey Bank,100 W University Ave,CHAMPAIGN,IL,61824
"Furstperson, Inc",2580 Charles St,Rockford,IL,61108,12667,PIF,332400,249300,5,44,2015,1/26/15,1/29/15,3,9/10/18,0,,,,,,"1,320",44,561110,Office Administrative Services,24,OTH 7A,Guaranty,Blackhawk Bank,400 Broad St,BELOIT,WI,53511
Dewangi Foods LLC,8608-10 W Golf Rd,NILES,IL,60714,80,CHGOFF,146700,73350,7.25,54,2011,2/25/11,3/1/11,4,8/7/15,1,2013,121962,24738,9/30/13,944,676,23,722211,Limited-Service Restaurants,20,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"Conya Global, Inc.",5520 W.  Touhy Avenue,Skokie,IL,60077,448,CHGOFF,300000,150000,5,26,2011,7/28/11,8/1/11,4,9/19/13,1,2018,154971,145029,1/8/18,"2,352","-1,572",-52,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,8,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
LAW OFFICES OF KATARZYNA M. CA,2500 EAST DEVON AVENUE SUITE,DES PLAINES,IL,60018,475,CHGOFF,18000,9000,9.75,18,2012,4/27/12,5/1/12,4,10/23/13,1,2018,11370,6630,3/12/18,"2,141","-1,601",-53,541110,Offices of Lawyers,1,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
Pro Swim EGV LLC,681 Meacham Road,ELK GROVE VILLAGE,IL,60007,1174,EXEMPT,680500,510375,5.5,120,2017,12/28/16,1/1/17,4,11/10/26,0,,,,,,"3,600",120,812990,All Other Personal Services,24,PLP,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
A. D. Kenwood Company,311 W. Lincoln Highway,CHICAGO HEIGHTS,IL,60411,1286,EXEMPT,560000,420000,5.25,192,2015,2/25/15,3/1/15,4,12/7/30,0,,,,,,"5,760",192,811191,Automotive Oil Change and Lubrication Shops,11,OTH 7A,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Lucyna's Goldfingers European,401 W. Prospect,MOUNT PROSPECT,IL,60056,1291,EXEMPT,463000,347250,5.5,300,2015,1/28/15,2/1/15,4,9/23/39,0,,,,,,"9,000",300,812112,Beauty Salons,15,PLP,Guaranty,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
"The Beverage Shoppe, LLC",1214 E. 53rd Street,CHICAGO,IL,60615,1292,EXEMPT,290000,145000,5.25,84,2015,1/28/15,2/1/15,4,12/26/21,0,,,,,,"2,520",84,445310,"Beer, Wine, and Liquor Stores",20,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Platinum Touch Industries LLC,6959 N. Milwaukee,NILES,IL,60714,1307,EXEMPT,200000,100000,5.75,84,2015,10/28/14,11/1/14,4,9/25/21,0,,,,,,"2,520",84,238990,All Other Specialty Trade Contractors,100,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Pizzeria Deville LLC,404 N. Milwaukee Avenue,LIBERTYVILLE,IL,60048,1331,EXEMPT,350000,175000,5.25,84,2014,5/28/14,6/1/14,4,4/25/21,0,,,,,,"2,520",84,722511,Full-Service Restaurants,30,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Daufenbach Camera LLC,320 N. Damen Avenue Suite D20,CHICAGO,IL,60612,1341,EXEMPT,100000,50000,5.8,60,2014,3/28/14,4/1/14,4,3/6/19,0,,,,,,"1,800",60,532210,Consumer Electronics and Appliances Rental,10,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
Moveable Feast and Company,321 Franklin St,GENEVA,IL,60134,1361,EXEMPT,195000,97500,5.5,84,2014,11/27/13,12/1/13,4,10/25/20,0,,,,,,"2,520",84,722320,Caterers,0,SBA EXPRES,FA$TRK (Small Loan Express),Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004
"Chiro Med II, LTD.",1480 N Green Mount RD STE 300,O FALLON,IL,62269,1465,EXEMPT,482500,361875,6,120,2017,12/28/16,1/1/17,4,11/10/26,0,,,,,,"3,600",120,621310,Offices of Chiropractors,3,PLP,Guaranty,United Midwest Savings Bank,101 S Main St,DE GRAFF,OH,43318
"Party House, Inc.",3211 W Iles Ave,SPRINGFIELD,IL,62711,1511,EXEMPT,362000,271500,6,124,2013,9/27/13,10/1/13,4,12/8/23,0,,,,,,"3,720",124,445310,"Beer, Wine, and Liquor Stores",3,PLP,Guaranty,United Community Bank,301 N Main St,CHATHAM,IL,62629
Woodmac Acquisition Corporatio,3233 Holeman Avenue,SOUTH CHICAGO HEIGHTS,IL,60411,1674,EXEMPT,441000,330750,5.56,300,2017,12/28/16,1/1/17,4,8/23/41,0,,,,,,"9,000",300,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",13,PLP,Guaranty,U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
Woodmac Acquisition Corporatio,3233 Holeman Avenue,SOUTH CHICAGO HEIGHTS,IL,60411,1675,EXEMPT,750000,562500,6.25,120,2017,12/28/16,1/1/17,4,11/10/26,0,,,,,,"3,600",120,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",13,PLP,Guaranty,U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
RELIABLE HOME REMODELING INC,906 PULASKI RD N,CHICAGO,IL,60651,1719,EXEMPT,25000,12500,8.5,84,2016,6/27/16,7/1/16,4,5/26/23,0,,,,,,"2,520",84,236118,Residential Remodelers,5,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
GIAMPAOLO HEARING INC,377 BUTTERFIELD RD E,LOMBARD,IL,60148,1773,EXEMPT,35000,17500,8.5,84,2016,2/26/16,3/1/16,4,1/24/23,0,,,,,,"2,520",84,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",4,SBA EXPRES,FA$TRK (Small Loan Express),U.S. Bank National Association,425 Walnut St,Cincinnati,OH,45202
